,team,year,TOTAL FIRST DOWNS,TOTAL FIRST DOWNS Opponent,FIRST DOWNS Rushing,FIRST DOWNS Passing,FIRST DOWNS By Penalty,FIRST DOWNS Rushing Opponent,FIRST DOWNS Passing Opponent,FIRST DOWNS By Penalty Opponent,THIRD DOWN CONVERSIONS,THIRD DOWN CONVERSIONS Opponent,FOURTH DOWN CONVERSIONS,FOURTH DOWN CONVERSIONS Opponent,TOTAL OFFENSIVE YARDS,TOTAL OFFENSIVE YARDS Opponent,OFFENSE Plays,OFFENSE Average Yards,OFFENSE Plays Opponent,OFFENSE Average Yards Opponent,TOTAL RUSHING YARDS,TOTAL RUSHING YARDS Opponent,RUSHING Plays,RUSHING Average Yards,RUSHING Plays Opponent,RUSHING Average Yards Opponent,TOTAL PASSING YARDS,TOTAL PASSING YARDS Opponent,PASSING Comp,PASSING Att,PASSING Int,PASSING Avg,PASSING Comp Opponent,PASSING Att Opponent,PASSING Int Opponent,PASSING Avg Opponent,SACKS,SACKS Opponent,FIELD GOALS,FIELD GOALS Opponent,TOUCHDOWNS,TOUCHDOWNS Opponent,TDs Rushing,TDs Passing,TDs Returns,TDs Defensive,TDs Rushing Opponent,TDs Passing Opponent,TDs Returns Opponent,TDs Defensive Opponent,TURNOVER RATIO,TURNOVER RATIO Opponent
0,azcardinals,2017,310,283,66,200,44,68,187,28,82 / 233,80 / 224,7 / 16,7 / 16,5026,4975,1059,4.8,1007,4.9,1386,1434,409,3.4,406,3.5,3979,3541,339,598,18,6.6,343,564,15,6.3,52,37,32 / 40,26 / 29,28,41,6,21,0,2,12,24,1,4,-4,
0,azcardinals,2018,239,357,76,137,26,139,186,32,58 / 199,78 / 205,6 / 16,8 / 13,3865,5741,902,4.3,1065,5.4,1342,2479,355,3.8,510,4.9,2884,3262,283,495,18,5.8,342,506,7,6.4,52,49,12 / 17,25 / 31,25,50,9,15,0,2,25,21,0,4,-12,
0,azcardinals,2019,314,375,109,176,29,94,243,38,71 / 197,100 / 214,13 / 20,3 / 14,5467,6432,1000,5.5,1080,6,1990,1922,396,5,439,4.4,3797,4510,355,554,12,6.8,421,601,7,7.5,50,40,31 / 35,27 / 32,38,51,18,20,0,0,9,38,1,3,-1,
0,azcardinals,2020,381,363,136,211,34,118,207,38,80 / 202,80 / 202,17 / 25,14 / 21,6153,5631,1083,5.7,1054,5.3,2237,2008,479,4.7,436,4.6,4102,3623,387,575,13,7.1,365,570,11,6.4,29,48,23 / 30,25 / 30,49,42,22,27,0,0,13,26,0,3,0,
0,azcardinals,2021,367,336,127,214,26,109,192,35,100 / 221,79 / 207,17 / 29,14 / 30,6352,5597,1126,5.6,1028,5.4,2076,1952,496,4.2,426,4.6,4619,3645,415,591,11,7.8,367,561,13,6.5,39,41,30 / 37,23 / 28,51,41,23,27,0,2,10,30,0,1,12,
0,azcardinals,2022,326,363,115,189,22,124,218,21,82 / 233,87 / 203,18 / 41,8 / 16,5499,5931,1144,4.8,1075,5.5,1873,2016,434,4.3,446,4.5,3966,3915,433,664,17,6,414,593,11,6.6,46,36,26 / 30,29 / 31,35,52,15,17,0,4,21,29,0,2,-5,
0,atlantafalcons,2017,330,323,101,200,29,97,197,29,88 / 197,75 / 196,4 / 13,13 / 19,5837,5094,984,5.9,994,5.1,1847,1665,430,4.3,402,4.1,4146,3429,343,530,12,7.8,362,553,8,6.2,24,39,34 / 39,28 / 33,34,33,12,21,0,2,9,22,0,2,-2,
0,atlantafalcons,2018,352,375,84,238,30,115,226,34,92 / 203,95 / 195,10 / 19,10 / 13,6226,6152,1010,6.2,1031,6,1573,1999,351,4.5,409,4.9,4949,4153,428,617,7,8,398,585,15,7.1,42,37,25 / 26,22 / 22,48,52,11,36,0,2,16,33,0,3,1,
0,atlantafalcons,2019,383,330,84,258,41,108,192,30,87 / 207,77 / 193,13 / 21,12 / 20,6075,5693,1096,5.5,985,5.8,1361,1775,362,3.8,421,4.2,5049,3918,459,684,15,7.4,351,536,12,7.3,50,28,32 / 40,30 / 34,41,45,10,29,1,1,13,28,0,4,-5,
0,atlantafalcons,2020,366,367,86,243,37,97,239,31,97 / 221,80 / 195,15 / 26,10 / 23,5895,6374,1078,5.5,1034,6.2,1532,1677,409,3.8,380,4.4,4620,4697,408,628,11,7.4,425,625,12,7.5,41,29,38 / 40,24 / 28,41,49,13,27,0,1,15,34,0,0,3,
0,atlantafalcons,2021,306,383,75,196,35,143,214,26,82 / 211,105 / 217,10 / 24,11 / 22,5164,6194,1006,5.1,1114,5.6,1451,2242,393,3.7,519,4.3,3987,3952,377,573,15,7,391,577,12,6.8,40,18,27 / 29,26 / 28,33,54,11,20,0,2,19,31,1,3,-6,
0,atlantafalcons,2022,330,351,152,148,30,136,200,15,82 / 196,101 / 220,9 / 18,7 / 17,5417,6156,1011,5.4,1082,5.7,2718,2214,559,4.9,500,4.4,2927,3942,257,415,9,7,372,561,10,7,37,21,32 / 37,33 / 38,38,41,17,17,1,2,15,26,0,0,-4,
0,baltimoreravens,2017,311,296,111,168,32,87,179,30,76 / 223,82 / 222,10 / 16,6 / 16,4886,5201,1054,4.6,1045,5,1856,1780,460,4,435,4.1,3235,3421,363,567,13,5.7,333,569,22,6,27,41,34 / 37,28 / 33,40,32,14,20,2,5,12,18,0,2,17,
0,baltimoreravens,2018,367,286,153,184,30,82,174,30,104 / 231,72 / 211,13 / 22,10 / 20,5999,4687,1135,5.3,974,4.8,2441,1327,547,4.5,354,3.8,3708,3360,334,556,9,6.7,337,577,12,5.8,32,43,35 / 39,20 / 26,38,33,19,18,1,3,11,21,0,1,-3,
0,baltimoreravens,2019,386,276,188,171,27,74,163,39,88 / 187,72 / 194,17 / 24,6 / 18,6521,4809,1064,6.1,921,5.2,3296,1494,596,5.5,340,4.4,3350,3315,289,440,8,7.6,318,544,13,6.1,28,37,28 / 29,27 / 31,60,28,21,37,0,5,12,15,1,0,10,
0,baltimoreravens,2020,327,347,166,142,19,96,213,38,101 / 207,65 / 191,12 / 19,16 / 35,5810,5276,993,5.8,1017,5.2,3071,1740,555,5.5,382,4.6,2919,3536,257,406,11,7.2,380,596,10,5.9,32,39,26 / 29,16 / 24,52,37,24,27,1,3,12,22,0,3,4,
0,baltimoreravens,2021,394,340,159,209,26,81,232,27,82 / 225,70 / 201,18 / 27,11 / 18,6440,6178,1185,5.4,1033,6,2479,1436,517,4.8,378,3.8,4267,4742,396,611,18,7,397,621,9,7.6,57,34,35 / 37,21 / 28,41,48,18,21,0,1,13,31,1,3,-11,
0,baltimoreravens,2022,337,323,167,149,21,91,206,26,91 / 218,73 / 209,8 / 20,15 / 24,5760,5513,1052,5.5,1047,5.3,2720,1566,526,5.2,406,3.9,3202,3947,300,488,13,6.6,394,593,14,6.7,38,48,37 / 43,31 / 38,34,32,14,19,1,0,11,20,0,1,4,
0,buffalobills,2017,278,348,105,149,24,121,199,28,101 / 241,82 / 214,2 / 15,11 / 20,4842,5682,1010,4.8,1066,5.3,2017,1994,487,4.1,466,4.3,3086,3688,289,476,10,6.5,370,573,18,6.4,47,27,29 / 33,32 / 35,29,38,12,16,0,3,22,14,0,2,9,
