Rank,Player,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
1,Priest Holmes (FA),313,1615,5.2,56,0,21,70,81,672,9.6,3,1,14,370.7,26.5,0.0%,2002,rb
2,Ricky Williams (FA),383,1853,4.8,63,0,16,47,59,363,7.7,1,5,16,313.6,19.6,0.0%,2002,rb
3,LaDainian Tomlinson (FA),372,1683,4.5,76,0,14,79,101,489,6.2,1,1,16,305.2,19.1,0.0%,2002,rb
4,Clinton Portis (FA),273,1508,5.5,59,0,15,33,48,364,11.0,2,3,16,283.2,17.7,0.0%,2002,rb
5,Shaun Alexander (FA),295,1175,4.0,58,0,16,59,78,460,7.8,2,1,16,269.5,16.8,0.0%,2002,rb
6,Deuce McAllister (FA),325,1388,4.3,62,0,13,47,74,352,7.5,3,3,15,264.0,17.6,0.0%,2002,rb
7,Charlie Garner (FA),182,962,5.3,36,0,7,91,111,941,10.3,4,0,16,256.3,16.0,0.0%,2002,rb
8,Tiki Barber (FA),304,1387,4.6,70,0,11,69,95,597,8.7,0,6,16,252.4,15.8,0.0%,2002,rb
9,Travis Henry (FA),325,1438,4.4,34,0,13,43,59,309,7.2,1,8,16,242.7,15.2,0.0%,2002,rb
10,Eddie George (FA),343,1165,3.4,35,0,12,36,46,255,7.1,2,1,16,226.0,14.1,0.0%,2002,rb
11,Fred Taylor (FA),287,1314,4.6,63,0,8,49,57,408,8.3,0,2,16,220.2,13.8,0.0%,2002,rb
12,Ahman Green (FA),286,1240,4.3,43,0,7,57,74,393,6.9,2,3,14,211.3,15.1,0.0%,2002,rb
13,Duce Staley (FA),269,1029,3.8,57,0,5,51,69,541,10.6,3,0,16,207.0,12.9,0.0%,2002,rb
