Rank,Player,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING LG,RECEIVING 20+,RECEIVING TD,RUSHING ATT,RUSHING YDS,RUSHING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
1,Jerry Porter (FA),51,70,688,13.5,36,0,9,4,6,0,0,16,127.4,8.0,0.0%,2002,te
2,Todd Heap (FA),68,122,836,12.3,43,0,6,4,38,0,0,16,125.4,7.8,0.0%,2002,te
3,Tony Gonzalez (FA),63,99,773,12.3,42,0,7,0,0,0,0,16,119.3,7.5,0.0%,2002,te
4,Jeremy Shockey (FA),74,127,894,12.1,30,0,2,0,0,0,2,15,97.4,6.5,0.0%,2002,te
5,Bubba Franks (FA),54,71,442,8.2,20,0,7,0,0,0,0,16,91.4,5.7,0.0%,2002,te
6,Shannon Sharpe (FA),61,88,686,11.2,82,0,3,0,0,0,0,13,86.6,6.7,0.0%,2002,te
7,Marcus Pollard (FA),43,69,478,11.1,41,0,6,0,0,0,1,15,83.8,5.6,0.0%,2002,te
8,Billy Miller (FA),51,80,613,12.0,42,0,3,0,0,0,0,14,79.3,5.7,0.0%,2002,te
9,Alge Crumpler (FA),36,58,455,12.6,33,0,5,0,0,0,0,16,75.5,4.7,0.0%,2002,te
10,Randy McMichael (FA),39,68,485,12.4,45,0,4,1,8,0,1,16,71.3,4.5,0.0%,2002,te
11,Kyle Brady (FA),43,67,461,10.7,42,0,4,0,0,0,0,16,70.1,4.4,0.0%,2002,te
12,Christian Fauria (FA),27,40,253,9.4,33,0,7,0,0,0,0,15,69.3,4.6,0.0%,2002,te
13,Ernie Conwell (FA),34,48,419,12.3,52,0,2,6,30,1,0,16,62.9,3.9,0.0%,2002,te
14,Itula Mili (FA),43,64,508,11.8,49,0,2,0,0,0,0,15,62.8,4.2,0.0%,2002,te
15,Chad Lewis (FA),42,67,398,9.5,30,0,3,0,0,0,2,15,57.8,3.9,0.0%,2002,te
16,Stephen Alexander (FA),45,76,510,11.3,32,0,1,0,0,0,0,14,57.0,4.1,0.0%,2002,te
17,Anthony Becht (FA),28,44,243,8.7,21,0,5,0,0,0,0,15,56.3,3.8,0.0%,2002,te
18,Doug Jolley (FA),32,37,409,12.8,33,0,2,0,0,0,0,14,52.9,3.8,0.0%,2002,te
19,Mikhael Ricks (FA),27,68,339,12.6,49,0,3,0,0,0,0,14,51.9,3.7,0.0%,2002,te
